time,open,high,low,close,tick_vol,spread,real_vol,body,range,upper_wick,lower_wick,direction,hlc3,body_pct
2025-12-08 09:16:00+00:00,4214.43,4214.76,4213.57,4213.57,92,14,0,0.8600000000005821,1.190000000000509,0.3299999999999272,0.0,-1,4213.966666666666,0.7226890755697017
2025-12-08 09:17:00+00:00,4213.47,4214.03,4212.93,4213.41,186,14,0,0.0600000000004001,1.0999999999994543,0.5599999999994907,0.4799999999995634,-1,4213.456666666666,0.0545454545408867
2025-12-08 09:18:00+00:00,4213.54,4214.38,4213.42,4213.64,151,20,0,0.1000000000003638,0.9600000000000364,0.7399999999997817,0.1199999999998908,1,4213.813333333333,0.1041666666561909
2025-12-08 09:19:00+00:00,4213.57,4214.96,4213.43,4214.89,108,17,0,1.3200000000006185,1.5299999999997451,0.0699999999997089,0.1399999999994179,1,4214.426666666666,0.862745097983375
2025-12-08 09:20:00+00:00,4214.89,4215.57,4214.28,4214.28,116,17,0,0.6100000000005821,1.2899999999999636,0.6799999999993815,0.0,-1,4214.709999999999,0.4728682170180717
2025-12-08 09:21:00+00:00,4214.28,4214.77,4213.77,4214.76,115,16,0,0.4800000000004729,1.0,0.0100000000002182,0.5099999999993088,1,4214.433333333333,0.4799999999524729
2025-12-08 09:22:00+00:00,4214.76,4215.16,4213.64,4214.33,118,14,0,0.430000000000291,1.519999999999527,0.3999999999996362,0.6899999999995998,-1,4214.376666666666,0.2828947368237732
2025-12-08 09:23:00+00:00,4214.31,4214.36,4213.6,4214.06,111,14,0,0.25,0.7599999999993088,0.0499999999992724,0.4600000000000364,-1,4214.006666666667,0.3289473683780692
2025-12-08 09:24:00+00:00,4214.05,4214.98,4214.02,4214.67,101,14,0,0.6199999999998909,0.9599999999991268,0.3099999999994907,0.0299999999997453,1,4214.556666666666,0.6458333332665327
2025-12-08 09:25:00+00:00,4214.67,4214.67,4213.33,4213.33,124,14,0,1.3400000000001455,1.3400000000001455,0.0,0.0,-1,4213.776666666667,0.9999999999253733
2025-12-08 09:26:00+00:00,4213.33,4213.91,4213.22,4213.54,157,14,0,0.2100000000000363,0.6899999999995998,0.3699999999998908,0.1099999999996725,1,4213.556666666667,0.3043478260430773
2025-12-08 09:27:00+00:00,4213.67,4214.88,4213.09,4214.88,133,14,0,1.2100000000000364,1.7899999999999636,0.0,0.5799999999999272,1,4214.283333333334,0.6759776535935549
2025-12-08 09:28:00+00:00,4214.86,4216.05,4214.76,4215.38,147,14,0,0.5200000000004366,1.2899999999999636,0.6700000000000728,0.0999999999994543,1,4215.396666666667,0.4031007751629001
2025-12-08 09:29:00+00:00,4215.38,4215.67,4213.89,4213.89,117,15,0,1.4899999999997815,1.7799999999997451,0.2899999999999636,0.0,-1,4214.483333333334,0.8370786516383635
2025-12-08 09:30:00+00:00,4213.89,4214.26,4213.2,4214.1,82,14,0,0.2100000000000363,1.0600000000004002,0.1599999999998544,0.6900000000005093,1,4213.8533333333335,0.1981132075284394
