name,description,path,currency_base,currency_profit,digits,point,spread,trade_contract_size,volume_min,volume_max,swap_long,swap_short,margin_initial,visible
EURHKD,Euro vs Hong Kong Dollar,FX\Forex\EURHKD,EUR,HKD,5,1e-05,0,100000.0,0.01,20.0,-19.72,-17.99,0.0,False
EURHUF,Euro vs Hungarian Forint,FX\Forex\EURHUF,EUR,HUF,3,0.001,0,100000.0,0.01,20.0,-62.46,-37.21,0.0,False
EURILS,Euro vs Israeli Shekel,FX\Forex\EURILS,EUR,ILS,5,1e-05,0,100000.0,0.01,20.0,-24.9,-7.5,0.0,False
EURJPY,Euro vs Japanese Yen,FX\Forex\EURJPY,EUR,JPY,3,0.001,0,100000.0,0.01,20.0,-14.9,-22.68,0.0,False
EURMXN,Euro vs Mexican Peso,FX\Forex\EURMXN,EUR,MXN,4,0.0001,0,100000.0,0.01,20.0,-75.87,-55.28,0.0,False
EURNOK,Euro vs Norway Krone,FX\Forex\EURNOK,EUR,NOK,4,0.0001,0,100000.0,0.01,20.0,-3.58,-0.44,0.0,False
EURNZD,Euro vs New Zealand Dollar,FX\Forex\EURNZD,EUR,NZD,5,1e-05,0,100000.0,0.01,20.0,-11.04,-3.4,0.0,False
EURPLN,Euro vs Polish Zloty,FX\Forex\EURPLN,EUR,PLN,5,1e-05,0,100000.0,0.01,20.0,-30.01,-10.8,0.0,False
EURSEK,Euro vs Swedish Krona,FX\Forex\EURSEK,EUR,SEK,5,1e-05,0,100000.0,0.01,20.0,-20.35,-21.35,0.0,False
EURSGD,Euro vs Singapore Dollar,FX\Forex\EURSGD,EUR,SGD,5,1e-05,0,100000.0,0.01,20.0,-4.51,-5.41,0.0,False
EURTRY,Euro vs Turkish Lira,FX\Forex\EURTRY,EUR,TRY,5,1e-05,0,100000.0,0.01,20.0,-5140.07,-58.75,0.0,False
EURZAR,Euro vs South African Rand ,FX\Forex\EURZAR,EUR,ZAR,5,1e-05,0,100000.0,0.01,20.0,-326.43,-149.26,0.0,False
GBPAUD,Great Britain Pound vs Australian Dollar,FX\Forex\GBPAUD,GBP,AUD,5,1e-05,0,100000.0,0.01,20.0,-1.09,-10.92,0.0,False
GBPCAD,Great Britain Pound vs Canadian Dollar,FX\Forex\GBPCAD,GBP,CAD,5,1e-05,0,100000.0,0.01,20.0,-4.18,-10.7,0.0,False
GBPCHF,Great Britain Pound vs Swiss Franc,FX\Forex\GBPCHF,GBP,CHF,5,1e-05,0,100000.0,0.01,20.0,-5.01,-17.98,0.0,False
GBPCZK,Great Britain Pound vs Czech Koruna,FX\Forex\GBPCZK,GBP,CZK,4,0.0001,0,100000.0,0.01,20.0,-29.76,-9.92,0.0,False
GBPDKK,Great Britain Pound vs Danish Krona ,FX\Forex\GBPDKK,GBP,DKK,5,1e-05,0,100000.0,0.01,20.0,-9.89,-68.1,0.0,False
GBPHKD,Great Britain Pound vs Hong Kong Dollar,FX\Forex\GBPHKD,GBP,HKD,5,1e-05,0,100000.0,0.01,20.0,-5.35,-60.95,0.0,False
GBPHUF,Great Britain Pound vs Hungarian Forint,FX\Forex\GBPHUF,GBP,HUF,3,0.001,0,100000.0,0.01,20.0,-61.58,-78.46,0.0,False
GBPJPY,Great Britain Pound vs Japanese Yen,FX\Forex\GBPJPY,GBP,JPY,3,0.001,28,100000.0,0.01,20.0,-21.76,-33.69,0.0,True
GBPMXN,Great Britain Pound vs Mexican Peso,FX\Forex\GBPMXN,GBP,MXN,4,0.0001,0,100000.0,0.01,20.0,-77.55,-54.52,0.0,False
GBPNOK,Great Britain Pound vs Norway Krone,FX\Forex\GBPNOK,GBP,NOK,4,0.0001,0,100000.0,0.01,20.0,-0.86,-6.47,0.0,False
GBPNZD,Great Britain Pound vs New Zealand Dollar,FX\Forex\GBPNZD,GBP,NZD,5,1e-05,0,100000.0,0.01,20.0,-8.0,-5.24,0.0,False
GBPPLN,Great Britain Pound vs Polish Zloty,FX\Forex\GBPPLN,GBP,PLN,5,1e-05,0,100000.0,0.01,20.0,-54.79,-21.74,0.0,False
GBPSEK,Great Britan Pound vs Swedish Krona,FX\Forex\GBPSEK,GBP,SEK,5,1e-05,0,100000.0,0.01,20.0,-7.34,-87.62,0.0,False
GBPSGD,Great Britain Pound vs Singapore Dollar,FX\Forex\GBPSGD,GBP,SGD,5,1e-05,0,100000.0,0.01,20.0,-0.77,-11.96,0.0,False
GBPTRY,Great Britain Pound vs Turkish Lira,FX\Forex\GBPTRY,GBP,TRY,5,1e-05,0,100000.0,0.01,20.0,-5773.28,-61.25,0.0,False
GBPZAR,Great Britain Pound vs South African Rand,FX\Forex\GBPZAR,GBP,ZAR,5,1e-05,0,100000.0,0.01,20.0,-419.0,-141.0,0.0,False
HKDJPY,Hong Kong Dollar vs Japanese Yen,FX\Forex\HKDJPY,HKD,JPY,3,0.001,0,100000.0,0.01,20.0,-1.77,-2.57,0.0,False
MXNJPY,Mexican Peso vs Japanese Yen,FX\Forex\MXNJPY,MXN,JPY,3,0.001,0,100000.0,0.01,20.0,-2.19,-3.04,0.0,False
NOKJPY,Norwegian Krone vs Japanese Yen,FX\Forex\NOKJPY,NOK,JPY,3,0.001,0,100000.0,0.01,20.0,-1.0,-2.0,0.0,False
NOKSEK,Norway Krone vs Swedish Krona,FX\Forex\NOKSEK,NOK,SEK,5,1e-05,0,100000.0,0.01,20.0,-2.0,-4.0,0.0,False
NZDCAD,New Zealand Dollar vs Canadian Dollar,FX\Forex\NZDCAD,NZD,CAD,5,1e-05,0,100000.0,0.01,20.0,-2.55,-3.14,0.0,False
NZDCHF,New Zealand Dollar vs Swiss Franc,FX\Forex\NZDCHF,NZD,CHF,5,1e-05,0,100000.0,0.01,20.0,-3.96,-7.7,0.0,False
NZDDKK,New Zealand Dollar vs Danish Krone,FX\Forex\NZDDKK,NZD,DKK,5,1e-05,0,100000.0,0.01,20.0,-11.46,-30.98,0.0,False
NZDHUF,New Zealand Dollar vs Hungarian Forint,FX\Forex\NZDHUF,NZD,HUF,3,0.001,0,100000.0,0.01,20.0,-26.26,-6.32,0.0,False
NZDJPY,New Zealand Dollar vs Japanese Yen,FX\Forex\NZDJPY,NZD,JPY,3,0.001,0,100000.0,0.01,20.0,-11.75,-16.09,0.0,False
NZDNOK,New Zealand Dollar vs Norway Krone,FX\Forex\NZDNOK,NZD,NOK,4,0.0001,0,100000.0,0.01,20.0,-2.77,-4.99,0.0,False
NZDSEK,New Zealand Dollars vs Swedish Krona,FX\Forex\NZDSEK,NZD,SEK,5,1e-05,0,100000.0,0.01,20.0,-13.14,-40.04,0.0,False
NZDSGD,New Zealand Dollar vs Singapore Dollar,FX\Forex\NZDSGD,NZD,SGD,5,1e-05,0,100000.0,0.01,20.0,-0.71,-6.6,0.0,False
SEKJPY,Swedish Krona vs Japanese Yen,FX\Forex\SEKJPY,SEK,JPY,3,0.001,0,100000.0,0.01,20.0,-0.85,-1.34,0.0,False
