time,open,high,low,close,tick_vol,spread,real_vol,body,range,upper_wick,lower_wick,direction,hlc3,body_pct
2000-06-18 00:00:00+00:00,285.25,289.95,282.2,283.4,2939,0,0,1.8500000000000227,7.75,4.699999999999989,1.1999999999999886,-1,285.18333333333334,0.23870967741627766
2000-06-25 00:00:00+00:00,282.9,293.6,281.55,289.3,3725,0,0,6.400000000000034,12.050000000000011,4.300000000000011,1.349999999999966,1,288.15000000000003,0.5311203319458022
2000-07-02 00:00:00+00:00,288.6,290.6,281.6,284.0,3675,0,0,4.600000000000023,9.0,2.0,2.3999999999999773,-1,285.40000000000003,0.5111111111054346
2000-07-09 00:00:00+00:00,283.4,285.9,279.0,281.3,2715,0,0,2.099999999999966,6.899999999999977,2.5,2.3000000000000114,-1,282.06666666666666,0.30434782608254174
2000-07-16 00:00:00+00:00,280.2,284.65,277.05,280.6,3435,0,0,0.4000000000000341,7.599999999999966,4.0499999999999545,3.1499999999999773,1,280.7666666666667,0.05263157894668062
2000-07-23 00:00:00+00:00,280.25,282.15,277.3,278.9,3080,0,0,1.3500000000000227,4.849999999999966,1.8999999999999773,1.599999999999966,-1,279.45,0.278350515458185
2000-07-30 00:00:00+00:00,278.0,279.6,271.7,273.5,3580,0,0,4.5,7.900000000000034,1.6000000000000227,1.8000000000000114,-1,274.93333333333334,0.5696202531573441
2000-08-06 00:00:00+00:00,272.5,276.05,270.8,275.4,2985,0,0,2.8999999999999773,5.25,0.6500000000000341,1.6999999999999886,1,274.0833333333333,0.5523809523704265
2000-08-13 00:00:00+00:00,274.5,279.4,272.6,277.15,3185,0,0,2.6499999999999773,6.7999999999999545,2.25,1.8999999999999773,1,276.3833333333333,0.3897058823472095
2000-08-20 00:00:00+00:00,276.45,277.8,270.0,274.5,3130,0,0,1.9499999999999886,7.800000000000011,1.3500000000000227,4.5,-1,274.09999999999997,0.24999999999679304
2000-08-27 00:00:00+00:00,273.4,279.1,272.1,277.0,2640,0,0,3.6000000000000227,7.0,2.1000000000000227,1.2999999999999545,1,276.06666666666666,0.5142857142783706
2000-09-03 00:00:00+00:00,276.7,278.35,271.0,273.4,3260,0,0,3.3000000000000114,7.350000000000023,1.650000000000034,2.3999999999999773,-1,274.25,0.4489795918306263
2000-09-10 00:00:00+00:00,272.7,276.05,270.6,272.7,3130,0,0,0.0,5.449999999999989,3.3500000000000227,2.099999999999966,0,273.11666666666673,0.0
